id,query,answer_ids
2318834690,A man is standing on a dock looking at a boat on the water at sunrise .,[2318834690]
3688343105,"A concert band displays patriotism and talent , through dress , as well as their music .",[3688343105]
273572758,A youth standing nest to a metal fence with a black shirt on and a cigarette in their mouth .,[273572758]
2834973135,"On the beach , a woman in a red tank top leans over to look at the yin yang tattoo on another woman 's back .",[2834973135]
2504277798,A woman wearing ear protection is firing a gun at an indoor shooting range .,[2504277798]
747093215,A shirtless blond-haired little boy with blue jean shorts is pretending to mow some tall grass and dandelions with his toy lawn mower .,[747093215]
5091113794,A man with a mustache and a black shirt is playing the saxophone .,[5091113794]
4918525947,"A Japanese woman , dressed in traditional Kimono and straw hat , stands in front of a store .",[4918525947]
4013904088,"A man in an orange shirt , blue bottoms and a head covering is perched in a tree and holding an axe or hatchet .",[4013904088]
1386207171,The man is doing stunts with his bicycle .,[1386207171]
837919879,Two men wearing jeans and sunglasses are playing horseshoes .,[837919879]
3571193625,A German Shepherd is running with a stick in its mouth .,[3571193625]
7162685234,Two children playing on the beach in the sand with the ocean in the background,[7162685234]
3457364788,A little girl is sitting on the shoulder of a man wearing a black cap .,[3457364788]
242064301,There is a man walking with a bag in front of a black square paneled wall .,[242064301]
3402563398,man with reflective vest clears leaves off a sidewalk using a blower .,[3402563398]
2504007911,"A man uses a bicycle to transport a sight that says "" Lovely , "" while another man on a motor scooter drives by .",[2504007911]
122188825,A construction worker in a yellow vest digs in the street while a second worker looks on .,[122188825]
1390860274,A boy in an orange life vest plays on the shore with his net while his father in a red shirt and straw hat fishes .,[1390860274]
519228867,A smiling young girl wearing a swimsuit is soaking in a tub of water .,[519228867]
3669564923,The girls are both eating and the girl wearing the color red has cake icing on her upper lip .,[3669564923]
707941195,A black dog with white paws stands on a large rock in a field .,[707941195]
3007214949,A boy and girl bounce on a trampoline nearby a playground and area of foliage .,[3007214949]
145721496,A long-necked bird standing on a rock with waves crashing in the background .,[145721496]
1521623639,The man sits on a sofa under the bridge and litter is all around him .,[1521623639]
3276448136,A Group of people wearing white headbands with two white fluffy balls on each one .,[3276448136]
3564907603,"A group of young adults with "" X "" on their hands , smiling .",[3564907603]
2441818017,A man in blue overalls and red shirt holding a chainsaw .,[2441818017]
2741802133,"Three men ; one pedaling while playing drums , one playing piano and one both pedaling and steering , move a type of mobile band down a street .",[2741802133]
5821273614,"It 's a snow day so the mother takes her little boy who is in yellow out to make a snowman , and the dog loves to roll in the snow .",[5821273614]
4267222130,A small group of people with a spotlight on them wearing red shirts and jeans at a rodeo .,[4267222130]
307694396,Here we have four people filling up plates at a buffet .,[307694396]
1400421768,A man dressed in all black is holding a stick and wearing black goggles .,[1400421768]
4816829778,The man in the brown shirt is touching the machine on the desk .,[4816829778]
2339946012,A brown dog swimming for a stick in the water .,[2339946012]
2587818583,A man removes a boy from a ball pit while two other children and another man watch .,[2587818583]
3383491811,A brown dog with a black collar licks its own mouth .,[3383491811]
7263168156,A man wearing army camouflage stands behind the steering wheel of the vehicle he is operating .,[7263168156]
1328655944,The man is dancing with a doll wearing a red dress and heels .,[1328655944]
2093272744,"One man on the left with black hair , wearing glasses , and another man on the right with slightly graying black hair , without glasses but clasping his hands together , are laughing .",[2093272744]
381750411,Man dressed in business casual attire playing the saxophone with the rest of a band .,[381750411]
3211453055,"Two skiers , one in pink and one in black , ride on a ski lift .",[3211453055]
5893481130,A baseball player attempting to catch a baseball that is about to go over the field gate .,[5893481130]
2885111681,A large elderly woman in a green stripy dress is carrying shopping bags along a cobbled street .,[2885111681]
4771254001,A woman in a kimono with a white umbrella stands near a second person .,[4771254001]
2807545270,"Sunburned blond white woman sits on the ground outside , near three duffel bags .",[2807545270]
5558592,Three guys wearing cowboy hats sitting in front of a large crowd .,[5558592]
261627889,Two people wearing all white are painting a brick wall .,[261627889]
491987177,"A man tries to remove an opossum from underneath a bar with a broom , while people watch in the background .",[491987177]
2101756743,"A group of young Asian children , dressed in white shirts and black pants , are sitting on a brick-paved surface .",[2101756743]
1277185009,A topless person with a backpack is shown against on a pile of rocks with a cloudy background .,[1277185009]
4439654945,"Young children are learning a local custom by watching adults , and it appears to involve pretending to be asleep .",[4439654945]
1405005999,A woman with a white shirt aims a dart at an off-camera target as several other people holding darts look on beside her .,[1405005999]
3292277400,Two grayish-brown dogs looking at something in the grass .,[3292277400]
4562771403,A Woman wearing gray pants and a black jacket is balancing on one foot on a public street attempting to put socks on .,[4562771403]
3106481126,Chefs are gathered in the background and someone is over an open flame cooking meat .,[3106481126]
2103982884,Asian women standing in front of a body of water and surrounded by trees with red leaves .,[2103982884]
4923472130,"A man sits alone in front of a building , hanging his head so low it appears to not exist .",[4923472130]
110613709,A gray and black-haired male is holding his glasses in one hand while looking at something in the other hand ; surrounded by numerous amounts of machines .,[110613709]
5238681042,"Two workers wearing bright protective overcoats , shovel snow out of the way of passing residents .",[5238681042]
3468023754,children looking through magazines they have folded into tubes,[3468023754]
3815318559,A person wearing a hat riding in a red car and looking out the window,[3815318559]
358779007,A small asian child is kneeling down on the floor and looking up into the camera .,[358779007]
2379795688,"A group of people trying to sell handbags , accessories , and clothing .",[2379795688]
1301140633,"Blond child with dirty face holding yellow bottle with red cap , plants in background .",[1301140633]
4705885089,Six girls are forming a human pyramid in a bedroom during what appears to be a slumber party .,[4705885089]
510197538,Little girl with blond curly hair and wearing a yellow dress is jumping up .,[510197538]
3072074170,A bearded man in a brown button down shirt and plaid shorts is standing on one hand in the grass .,[3072074170]
6296342997,An elderly couple in a prayer mood squatting on a wrapper laid on the ground with a bushy background .,[6296342997]
4604145026,A white woman wearing headphones and a blue and white striped scarf walks down the street with two black people walking behind her .,[4604145026]
381052465,a yellow firetruck is parked next to a fire with a man on a ladder pouring water on it,[381052465]
1491016655,Two people are standing in a room one of whom is smoking the shots are of the back of the foreground person .,[1491016655]
7772052674,A man in a bar drinks from a pitcher while a man in a green hat looks on and a woman in a black shirt drink from a glass .,[7772052674]
270816949,A person riding a horse with a mountain range in the far background .,[270816949]
4930675925,A man with a plaid shirt and black hat sits on top of a white horse talking with another man wearing a black shirt and white cowboy hat sitting on a brown horse .,[4930675925]
2199200615,A dog running on green grass with its mouth open and tongue hanging out .,[2199200615]
313385842,"A man dressed in black shorts , a black t-shirt , and a backwards black baseball cap is talking to a man wearing a striped shirt and shorts while standing behind a truck .",[313385842]
186828224,Two asian children sitting in chairs in the street on summer day .,[186828224]
269440642,Four women dressed in red shirts are doing the hula dance while several people in the background watch .,[269440642]
2858422057,A woman wearing yellow pants is kneeling next to an infant wearing a blue outfit .,[2858422057]
526619673,Someone is standing down in the street and about to throw something .,[526619673]
4830853107,An Asian woman wearing a pink shirt is looking through the display viewfinder of a camera and is taking a picture .,[4830853107]
3041779850,Three boys in matching bowties and vests performing with a group .,[3041779850]
4689487867,"Older man wearing a north face vest , sunglasses and hat with buttons looking over cards at outdoor stand .",[4689487867]
2530468893,"Two ladies walking in front of a store with a man in an orange suit on with a bag under his arm , they look like they are underground .",[2530468893]
32490830,An accordion player with a bright colored shirt sitting outside in a chair with a young man in a blue t-shirt passing by .,[32490830]
5896386113,An elderly looking woman is hanging up clothes to dry in what appears to be an old town or neighborhood .,[5896386113]
2510020918,"A young boy dressed in a black hoodie crawling through a large , white tube .",[2510020918]
1318029076,"A child in white briefs is pictured jumping in midair above the water of a rive , with trees in the background .",[1318029076]
4827151208,A young man wearing a light blue tank top and white culottes is walking around an outdoor fountain and looking at a casually dressed woman .,[4827151208]
3614595423,"Several children are in a tree , laughing and with their hands on their chins .",[3614595423]
7841142842,A bicyclist in sponsored gear and expensive white helmet rides a carbon alloy bicycle while four spectators look on in the background behind a protective railing .,[7841142842]
2394922193,"Woman wearing a red sweater , brown slacks and a white hat , rollerblading on the street in front of a yellow building .",[2394922193]
3102363657,"Small boy hugged by person in bee costume , blurry urban background .",[3102363657]
3677302645,A person wearing a black coat and a helmet with spiky things is posing on the lawn in front of a crowd of people .,[3677302645]
3141293960,A man in a red shirt is doing a trick with his skateboard .,[3141293960]
3353962769,"A motorcyclist "" pops a wheelie "" in a grassy field framed by rolling hills .",[3353962769]
2908493594,"A man in a blue windbreaker jacket , laying face down on a park bench , with a liquor bottle nestled by one of the bench 's legs .",[2908493594]
112459543,A group of young children kick around a ball on a field with a body of water in the background .,[112459543]
4906044830,A bald man in an orange short and jeans walking in the city by Camden Interiors a furniture store with a giant rocking chair over the door .,[4906044830]
2503989120,"A man and a woman are talking to another man , and there is a computer in front of them .",[2503989120]
3777870218,A belly dancer wearing a red and gold costume stands with her arms above her head .,[3777870218]
18638572,"A young boy wearing a white tunic , white pants , and a yellow belt is standing on his left leg with his right leg extended in a karate pose .",[18638572]
228075008,A guy with sunglasses is sitting on a boat ferry in the sun .,[228075008]
23473996,The workers are wearing reflective jackets for working at night .,[23473996]
7177860808,A lady in a blue and white shirt and blue shorts washing clothes by hand in a water pot .,[7177860808]
3714740161,A man in a gray shirt and flip-flops is looking in his blue cooler at the items that are in the cooler .,[3714740161]
8156520592,A group of four enjoy the blue water on their jet skis .,[8156520592]
4859978011,A woman in a purple blouse and big black hat strolls down the street while listening to music on her mp3 player .,[4859978011]
4508639054,A young woman with an afro and an electronic device in her hands walks next to an orange bike .,[4508639054]
1131932671,The boy in blue shorts is bouncing on the bed .,[1131932671]
2752341621,Three women dressed in colorful clothes and head coverings and a man and boy are walking in the snow .,[2752341621]
3563871276,"This person , whose board displays an orange and yellow sail , is sailing through the water .",[3563871276]
